recipe_id,recipe_name,legacy_recipe_name,category,cuisine_inspiration,difficulty,servings,prep_minutes,cook_minutes,ingredients,method,why_this_works_for_tha,planner_readability_notes,acquisition_lane,acquisition_type,meal_source_type,collection,import_key,slug
THA-011,"Pakistani-style Feta, Parsnip & Cauliflower Egg Skillet",,breakfast,Pakistani-inspired,easy,4,10,10,"250g feta
1 tbsp olive oil
150g parsnip, chopped
150g cauliflower, chopped
1 tsp ground cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook parsnip and cauliflower until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Feta, parsnip, cauliflower and oats create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains feta
contains parsnip
contains cauliflower
contains oats
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-011,Pakistani-style-feta-parsnip-cauliflower-egg-skillet
THA-012,"Malaysian-style Cottage Cheese, Asparagus & Peas Breakfast Wrap",,breakfast,Malaysian-inspired,easy,4,10,10,"250g cottage cheese
1 tbsp olive oil
150g asparagus, chopped
150g peas, chopped
1 tsp ginger
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook asparagus and peas until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Cottage Cheese, asparagus, peas and wholewheat noodles create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains cottage cheese
contains asparagus
contains peas
contains wholewheat noodles
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-012,Malaysian-style-cottage-cheese-asparagus-peas-breakfast-wrap
THA-013,"North African-style Lentil, Celery & Mushroom Toast Plate",,breakfast,North African-inspired,easy,4,10,10,"1 x 400g tin lentils, drained
1 tbsp olive oil
150g celery, chopped
150g mushroom, chopped
1 tsp cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook celery and mushroom until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Lentil, celery, mushroom and sweet potato create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains lentil
contains celery
contains mushroom
contains sweet potato
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-013,north-African-style-lentil-celery-mushroom-toast-plate
THA-014,"Californian-style Split Pea, Broccoli & Fennel Breakfast Hash",,breakfast,Californian-inspired,easy,4,10,10,"250g split peas
1 tbsp olive oil
150g broccoli, chopped
150g fennel, chopped
1 tsp lime
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook broccoli and fennel until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Split Pea, broccoli, fennel and oats create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains split pea
contains broccoli
contains fennel
contains oats
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-014,Californian-style-split-pea-broccoli-fennel-breakfast-hash
THA-015,"French Country-style Cod, Red Pepper & Pumpkin Egg Skillet",,breakfast,French country-inspired,easy,4,10,10,"4 quality cod fillets or 350g cod
1 tbsp olive oil
150g red pepper, chopped
150g pumpkin, chopped
1 tsp thyme
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook red pepper and pumpkin until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Quality cod is paired with red pepper, pumpkin and pearl barley for a whole-food meal where protein is balanced by vegetables and fibre.","category: breakfast
contains cod
contains red pepper
contains pumpkin
contains pearl barley
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-015,french-Country-style-cod-red-pepper-pumpkin-egg-skillet
THA-016,"Pakistani-style Feta, Tomato & Green Bean Breakfast Wrap",,breakfast,Pakistani-inspired,easy,4,10,10,"250g feta
1 tbsp olive oil
150g tomato, chopped
150g green bean, chopped
1 tsp ground cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook tomato and green bean until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Feta, tomato, green bean and wholemeal flatbread create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains feta
contains tomato
contains green bean
contains wholemeal flatbread
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-016,Pakistani-style-feta-tomato-green-bean-breakfast-wrap
THA-017,"Malaysian-style Cottage Cheese, Peas & Pumpkin Toast Plate",,breakfast,Malaysian-inspired,easy,4,10,10,"250g cottage cheese
1 tbsp olive oil
150g peas, chopped
150g pumpkin, chopped
1 tsp ginger
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook peas and pumpkin until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Cottage Cheese, peas, pumpkin and oats create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains cottage cheese
contains peas
contains pumpkin
contains oats
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-017,Malaysian-style-cottage-cheese-peas-pumpkin-toast-plate
THA-018,"North African-style Edamame, Cabbage & Celery Breakfast Hash",,breakfast,North African-inspired,easy,4,10,10,"250g edamames
1 tbsp olive oil
150g cabbage, chopped
150g celery, chopped
1 tsp cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook cabbage and celery until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Edamame, cabbage, celery and wholewheat pasta create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains edamame
contains cabbage
contains celery
contains wholewheat pasta
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-018,north-African-style-edamame-cabbage-celery-breakfast-hash
THA-019,"Californian-style Cannellini Bean, Radish & Aubergine Egg Skillet",,breakfast,Californian-inspired,easy,4,10,10,"1 x 400g tin cannellini beans, drained
1 tbsp olive oil
150g radish, chopped
150g aubergine, chopped
1 tsp lime
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook radish and aubergine until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Cannellini Bean, radish, aubergine and quinoa create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains cannellini bean
contains radish
contains aubergine
contains quinoa
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-019,Californian-style-cannellini-bean-radish-aubergine-egg-skillet
THA-020,"French Country-style Tuna, Butternut Squash & Red Cabbage Breakfast Wrap",,breakfast,French country-inspired,easy,4,10,10,"4 quality tuna fillets or 350g tuna
1 tbsp olive oil
150g butternut squash, chopped
150g red cabbage, chopped
1 tsp thyme
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook butternut squash and red cabbage until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Quality tuna is paired with butternut squash, red cabbage and oats for a whole-food meal where protein is balanced by vegetables and fibre.","category: breakfast
contains tuna
contains butternut squash
contains red cabbage
contains oats
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-020,french-Country-style-tuna-butternut-squash-red-cabbage-breakfast-wrap
THA-021,"Pakistani-style Feta, Parsnip & Fennel Toast Plate",,breakfast,Pakistani-inspired,easy,4,10,10,"250g feta
1 tbsp olive oil
150g parsnip, chopped
150g fennel, chopped
1 tsp ground cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook parsnip and fennel until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Feta, parsnip, fennel and wholegrain bread create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains feta
contains parsnip
contains fennel
contains wholegrain bread
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-021,Pakistani-style-feta-parsnip-fennel-toast-plate
THA-022,"Malaysian-style Cottage Cheese, Asparagus & Spinach Breakfast Hash",,breakfast,Malaysian-inspired,easy,4,10,10,"250g cottage cheese
1 tbsp olive oil
150g asparagus, chopped
150g spinach, chopped
1 tsp ginger
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook asparagus and spinach until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Cottage Cheese, asparagus, spinach and wholewheat couscous create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains cottage cheese
contains asparagus
contains spinach
contains wholewheat couscous
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-022,Malaysian-style-cottage-cheese-asparagus-spinach-breakfast-hash
THA-023,"North African-style Haricot Bean, Celery & Cherry Tomato Egg Skillet",,breakfast,North African-inspired,easy,4,10,10,"1 x 400g tin haricot beans, drained
1 tbsp olive oil
150g celery, chopped
150g cherry tomato, chopped
1 tsp cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook celery and cherry tomato until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Haricot Bean, celery, cherry tomato and oats create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains haricot bean
contains celery
contains cherry tomato
contains oats
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-023,north-African-style-haricot-bean-celery-cherry-tomato-egg-skillet
THA-024,"Californian-style Lentil, Broccoli & Radish Breakfast Wrap",,breakfast,Californian-inspired,easy,4,10,10,"1 x 400g tin lentils, drained
1 tbsp olive oil
150g broccoli, chopped
150g radish, chopped
1 tsp lime
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook broccoli and radish until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Lentil, broccoli, radish and potato create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains lentil
contains broccoli
contains radish
contains potato
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-024,Californian-style-lentil-broccoli-radish-breakfast-wrap
THA-025,"French Country-style Sardine, Red Pepper & Pak Choi Toast Plate",,breakfast,French country-inspired,easy,4,10,10,"4 quality sardine fillets or 350g sardine
1 tbsp olive oil
150g red pepper, chopped
150g pak choi, chopped
1 tsp thyme
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook red pepper and pak choi until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Quality sardine is paired with red pepper, pak choi and brown basmati rice for a whole-food meal where protein is balanced by vegetables and fibre.","category: breakfast
contains sardine
contains red pepper
contains pak choi
contains brown basmati rice
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-025,french-Country-style-sardine-red-pepper-pak-choi-toast-plate
THA-026,"Pakistani-style Feta, Tomato & Cauliflower Breakfast Hash",,breakfast,Pakistani-inspired,easy,4,10,10,"250g feta
1 tbsp olive oil
150g tomato, chopped
150g cauliflower, chopped
1 tsp ground cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook tomato and cauliflower until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Feta, tomato, cauliflower and oats create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains feta
contains tomato
contains cauliflower
contains oats
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-026,Pakistani-style-feta-tomato-cauliflower-breakfast-hash
THA-027,"Malaysian-style Cottage Cheese, Peas & Cauliflower Egg Skillet",,breakfast,Malaysian-inspired,easy,4,10,10,"250g cottage cheese
1 tbsp olive oil
150g peas, chopped
150g cauliflower, chopped
1 tsp ginger
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook peas and cauliflower until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Cottage Cheese, peas, cauliflower and wholewheat noodles create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains cottage cheese
contains peas
contains cauliflower
contains wholewheat noodles
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-027,Malaysian-style-cottage-cheese-peas-cauliflower-egg-skillet
THA-028,"North African-style Black Bean, Cabbage & Mushroom Breakfast Wrap",,breakfast,North African-inspired,easy,4,10,10,"1 x 400g tin black beans, drained
1 tbsp olive oil
150g cabbage, chopped
150g mushroom, chopped
1 tsp cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook cabbage and mushroom until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Black Bean, cabbage, mushroom and sweet potato create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains black bean
contains cabbage
contains mushroom
contains sweet potato
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-028,north-African-style-black-bean-cabbage-mushroom-breakfast-wrap
THA-029,"Californian-style Edamame, Radish & Fennel Toast Plate",,breakfast,Californian-inspired,easy,4,10,10,"250g edamames
1 tbsp olive oil
150g radish, chopped
150g fennel, chopped
1 tsp lime
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook radish and fennel until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Edamame, radish, fennel and oats create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains edamame
contains radish
contains fennel
contains oats
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-029,Californian-style-edamame-radish-fennel-toast-plate
THA-030,"French Country-style Mackerel, Butternut Squash & Red Pepper Breakfast Hash",,breakfast,French country-inspired,easy,4,10,10,"4 quality mackerel fillets or 350g mackerel
1 tbsp olive oil
150g butternut squash, chopped
150g red pepper, chopped
1 tsp thyme
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook butternut squash and red pepper until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Quality mackerel is paired with butternut squash, red pepper and pearl barley for a whole-food meal where protein is balanced by vegetables and fibre.","category: breakfast
contains mackerel
contains butternut squash
contains red pepper
contains pearl barley
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-030,french-Country-style-mackerel-butternut-squash-red-pepper-breakfast-hash
THA-031,"Pakistani-style Feta, Parsnip & Green Bean Egg Skillet",,breakfast,Pakistani-inspired,easy,4,10,10,"250g feta
1 tbsp olive oil
150g parsnip, chopped
150g green bean, chopped
1 tsp ground cumin
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook parsnip and green bean until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Feta, parsnip, green bean and wholemeal flatbread create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains feta
contains parsnip
contains green bean
contains wholemeal flatbread
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-031,Pakistani-style-feta-parsnip-green-bean-egg-skillet
THA-032,"Malaysian-style Cottage Cheese, Asparagus & Pumpkin Breakfast Wrap",,breakfast,Malaysian-inspired,easy,4,10,10,"250g cottage cheese
1 tbsp olive oil
150g asparagus, chopped
150g pumpkin, chopped
1 tsp ginger
4 wholegrain wraps or slices of toast
Black pepper","1. Heat olive oil in a pan.
2. Cook asparagus and pumpkin until softened.
3. Add the protein and warm through or cook until done.
4. Season lightly with the listed spice.
5. Serve with wholegrain toast or wraps.","Cottage Cheese, asparagus, pumpkin and oats create a filling plant-forward meal built from recognisable ingredients and simple seasoning.","category: breakfast
contains cottage cheese
contains asparagus
contains pumpkin
contains oats
mild base recipe",tha_library,authored,starter,THA Original Founding Cookbook,tha_original:THA-032,Malaysian-style-cottage-cheese-asparagus-pumpkin-breakfast-wrap
